gene_id	gene_name	gene_len	total_pct_count	anchor_sum	anchor_mean	anchor_nonzero_bins	max_ratio	used	skip_reason
ENSG00000259371.2	ENSG00000259371	850	5140	171	17.1000	9	57.0760	true	-
ENSG00000100345.23	MYH9	1790	14565	202	20.2000	10	55.1485	true	-
ENSG00000136813.15	ECPAS	7078	47143	180	18.0000	10	52.9444	true	-
ENSG00000170881.5	RNF139	3199	32960	208	20.8000	10	52.3077	true	-
ENSG00000135317.14	SNX14	3739	23234	119	11.9000	10	51.7647	true	-
ENSG00000177732.9	SOX12	4673	34199	217	21.7000	10	51.1521	true	-
ENSG00000196072.12	BLOC1S2	2470	10718	145	14.5000	9	50.8966	true	-
ENSG00000173366.11	ENSG00000173366	3695	6604	147	14.7000	10	50.3401	true	-
ENSG00000125977.7	EIF2S2	2556	30307	423	42.3000	10	50.0473	true	-
ENSG00000198677.13	SKIC3	6862	33684	186	18.6000	10	49.4086	true	-
ENSG00000102893.18	PHKB	1375	4803	106	10.6000	10	49.3396	true	-
ENSG00000073060.17	SCARB1	2779	15461	141	14.1000	10	49.1489	true	-
ENSG00000099968.18	BCL2L13	4817	21529	195	19.5000	10	49.0769	true	-
ENSG00000130305.17	NSUN5	2269	8820	117	11.7000	7	48.6325	true	-
ENSG00000185651.16	UBE2L3	2932	16401	433	43.3000	10	48.4988	true	-
ENSG00000122779.18	TRIM24	8488	22761	118	11.8000	10	47.5424	true	-
ENSG00000113649.14	TCERG1	4654	49637	291	29.1000	9	47.4570	true	-
ENSG00000139168.9	ZCRB1	1661	13660	209	20.9000	10	47.1292	true	-
ENSG00000139921.13	TMX1	4025	16562	133	13.3000	6	46.6917	true	-
ENSG00000114021.12	NIT2	7233	17214	247	24.7000	10	46.3968	true	-
ENSG00000182923.20	CEP63	4994	14427	137	13.7000	10	46.3504	true	-
ENSG00000111666.11	CHPT1	2001	23231	380	38.0000	10	45.7368	true	-
ENSG00000089685.15	BIRC5	2446	8963	104	10.4000	9	45.6731	true	-
ENSG00000117614.10	SYF2	1757	29002	490	49.0000	10	44.8367	true	-
ENSG00000286235.1	ENSG00000286235	5862	16701	214	21.4000	10	44.8131	true	-
ENSG00000138674.17	SEC31A	3397	23027	164	16.4000	10	44.6951	true	-
ENSG00000143771.12	CNIH4	3963	3257	135	13.5000	7	44.3704	true	-
ENSG00000166135.14	HIF1AN	12927	36284	110	11.0000	10	44.2727	true	-
ENSG00000166503.10	HDGFL3	12538	14117	100	10.0000	10	44.0000	true	-
ENSG00000164463.12	CREBRF	2466	10225	113	11.3000	5	43.8053	true	-
ENSG00000075426.12	FOSL2	5829	38120	150	15.0000	8	43.8000	true	-
ENSG00000184924.6	PTRHD1	1120	7108	214	21.4000	10	43.7850	true	-
ENSG00000134748.13	PRPF38A	5233	25097	199	19.9000	10	43.5678	true	-
ENSG00000164543.7	STK17A	3918	17159	215	21.5000	10	43.1628	true	-
ENSG00000082068.9	WDR70	2877	11267	117	11.7000	10	42.9060	true	-
ENSG00000139233.7	LLPH	7728	13649	208	20.8000	9	42.2115	true	-
ENSG00000160218.13	TRAPPC10	6986	18645	155	15.5000	6	41.8710	true	-
ENSG00000133639.6	BTG1	4629	150506	1906	190.6000	10	41.2225	true	-
ENSG00000184076.13	UQCR10	916	9112	534	53.4000	10	40.9551	true	-
ENSG00000186298.12	PPP1CC	1882	17841	339	33.9000	10	40.7965	true	-
ENSG00000186652.10	PRG2	1367	268928	8339	833.9000	10	40.5396	true	-
ENSG00000093010.15	COMT	2202	39348	728	72.8000	10	40.3846	true	-
ENSG00000088766.12	CRLS1	3859	16154	237	23.7000	10	40.2532	true	-
ENSG00000165650.12	PDZD8	9672	175603	729	72.9000	10	40.0412	true	-
ENSG00000075884.14	ARHGAP15	2968	8274	261	26.1000	10	39.7318	true	-
ENSG00000136738.15	STAM	3856	22764	197	19.7000	10	39.6954	true	-
ENSG00000088356.6	PDRG1	1957	9014	164	16.4000	9	39.1463	true	-
ENSG00000285382.1	ENSG00000285382	2746	11198	257	25.7000	10	39.1051	true	-
ENSG00000139651.11	ZNF740	8557	20232	109	10.9000	10	39.0826	true	-
ENSG00000122359.18	ANXA11	6720	48298	505	50.5000	10	38.9307	true	-
ENSG00000130311.11	DDA1	4043	12243	325	32.5000	10	38.4615	true	-
ENSG00000120837.8	NFYB	3424	11585	194	19.4000	10	38.4536	true	-
ENSG00000003147.19	ICA1	1615	8987	210	21.0000	10	37.8571	true	-
ENSG00000110801.14	PSMD9	2307	12412	214	21.4000	10	37.7570	true	-
ENSG00000132341.12	RAN	1475	58147	1481	148.1000	10	37.5760	true	-
ENSG00000106588.12	PSMA2	1434	26477	661	66.1000	10	37.5189	true	-
ENSG00000256646.8	ENSG00000256646	1397	23135	661	66.1000	10	37.5189	true	-
ENSG00000166710.23	B2M	1081	302886	12614	1261.4000	10	37.4608	true	-
ENSG00000126067.12	PSMB2	4426	25493	431	43.1000	10	37.2622	true	-
ENSG00000145335.17	SNCA	2139	38181	1066	106.6000	10	37.2326	true	-
ENSG00000277443.3	MARCKS	4296	108067	857	85.7000	10	37.2112	true	-
ENSG00000101353.16	MROH8	3087	2813	161	16.1000	9	36.6460	true	-
ENSG00000143653.10	SCCPDH	2141	40176	554	55.4000	10	36.5884	true	-
ENSG00000146416.19	AIG1	1202	9708	241	24.1000	10	36.4730	true	-
ENSG00000115947.14	ORC4	6472	7666	105	10.5000	8	36.3810	true	-
ENSG00000258311.5	ENSG00000258311	3382	10758	426	42.6000	10	36.0094	true	-
ENSG00000115875.19	SRSF7	2356	30337	696	69.6000	10	35.7759	true	-
ENSG00000187118.14	CMC1	6009	10650	123	12.3000	10	35.6911	true	-
ENSG00000181467.5	RAP2B	8402	15525	134	13.4000	10	35.4478	true	-
ENSG00000164574.16	GALNT10	4344	4551	115	11.5000	10	35.1304	true	-
ENSG00000115484.15	CCT4	2376	47444	764	76.4000	9	34.9607	true	-
ENSG00000119638.14	NEK9	6010	42638	233	23.3000	10	34.8927	true	-
ENSG00000123485.12	HJURP	2934	8429	108	10.8000	10	34.7222	true	-
ENSG00000124201.15	ZNFX1	5235	9263	210	21.0000	10	34.7143	true	-
ENSG00000130881.14	LRP3	4058	14417	141	14.1000	10	34.6809	true	-
ENSG00000146701.12	MDH2	2020	35802	878	87.8000	10	34.6128	true	-
ENSG00000101546.13	RBFA	5590	10643	199	19.9000	10	34.4221	true	-
ENSG00000168724.18	DNAJC21	2788	15891	259	25.9000	10	34.3243	true	-
ENSG00000169621.11	APLF	3823	15338	360	36.0000	10	34.2500	true	-
ENSG00000159210.10	SNF8	2044	11362	227	22.7000	10	34.1410	true	-
ENSG00000172197.11	MBOAT1	4325	11227	101	10.1000	10	33.8614	true	-
ENSG00000127022.16	CANX	4868	233518	1519	151.9000	10	33.8446	true	-
ENSG00000127528.6	KLF2	2820	26806	472	47.2000	10	33.7712	true	-
ENSG00000071082.11	RPL31	817	347727	21545	2154.5000	10	33.6630	true	-
ENSG00000165802.23	NSMF	3556	7886	108	10.8000	9	33.3333	true	-
ENSG00000170502.13	NUDT9	2458	3573	100	10.0000	8	33.0000	true	-
ENSG00000289346.1	ENSG00000289346	4346	6482	209	20.9000	10	32.9665	true	-
ENSG00000185019.17	UBOX5	4300	2729	139	13.9000	10	32.6619	true	-
ENSG00000013288.9	MAN2B2	5129	31250	213	21.3000	10	32.4883	true	-
ENSG00000114446.5	IFT57	3057	13872	198	19.8000	10	32.3737	true	-
ENSG00000160360.13	GPSM1	2270	8357	164	16.4000	10	32.3171	true	-
ENSG00000081870.12	IFT25	765	4332	331	33.1000	10	32.0544	true	-
ENSG00000136114.17	THSD1	3050	2029	134	13.4000	10	32.0149	true	-
ENSG00000166855.9	CLPX	4695	11631	170	17.0000	9	31.9412	true	-
ENSG00000161057.13	PSMC2	3054	22145	391	39.1000	8	31.8926	true	-
ENSG00000178952.11	TUFM	2011	73837	1578	157.8000	10	31.6350	true	-
ENSG00000088832.18	FKBP1A	2147	13334	801	80.1000	10	30.6367	true	-
ENSG00000148450.13	MSRB2	1730	5756	196	19.6000	10	30.5612	true	-
ENSG00000168264.11	IRF2BP2	5316	281164	3862	386.2000	10	30.3081	true	-
ENSG00000105443.17	CYTH2	2721	16789	302	30.2000	10	30.2649	true	-
ENSG00000121680.16	PEX16	1479	5767	144	14.4000	10	30.1389	true	-
ENSG00000166974.13	MAPRE2	4080	27392	248	24.8000	10	29.9597	true	-
ENSG00000166337.11	TAF10	5312	50452	1030	103.0000	10	29.9126	true	-
ENSG00000117133.11	RPF1	1948	10054	206	20.6000	10	29.8058	true	-
ENSG00000165060.15	FXN	2843	4811	176	17.6000	10	29.7159	true	-
ENSG00000133983.16	COX16	1669	6682	370	37.0000	10	29.6757	true	-
ENSG00000050393.12	MCUR1	5460	8447	150	15.0000	8	29.6000	true	-
ENSG00000145216.17	FIP1L1	5489	18258	244	24.4000	10	29.3443	true	-
ENSG00000140044.13	JDP2	3775	6713	127	12.7000	9	29.0551	true	-
ENSG00000168159.15	RNF187	3118	27570	407	40.7000	10	28.9926	true	-
ENSG00000111602.12	TIMELESS	5158	14824	107	10.7000	10	28.9720	true	-
ENSG00000266472.6	MRPS21	1462	13780	653	65.3000	10	28.7902	true	-
ENSG00000135604.11	STX11	4211	42967	578	57.8000	10	28.7543	true	-
ENSG00000025796.14	SEC63	6430	38092	423	42.3000	10	28.5343	true	-
ENSG00000076053.12	RBM7	3610	15385	314	31.4000	10	28.4713	true	-
ENSG00000137714.3	FDX1	3144	7058	192	19.2000	10	28.3854	true	-
ENSG00000182307.14	C8orf33	1725	4824	163	16.3000	10	28.3436	true	-
ENSG00000169813.17	HNRNPF	2617	34449	570	57.0000	10	28.0351	true	-
ENSG00000173141.5	MRPL57	2233	14414	600	60.0000	10	28.0333	true	-
ENSG00000164615.6	CAMLG	2004	21381	493	49.3000	10	27.9919	true	-
ENSG00000184677.18	ZBTB40	8368	29581	147	14.7000	8	27.9592	true	-
ENSG00000141965.5	FEM1A	9540	12857	116	11.6000	10	27.8448	true	-
ENSG00000165389.7	SPTSSA	2662	5196	135	13.5000	6	27.7778	true	-
ENSG00000103415.12	HMOX2	1621	3787	111	11.1000	9	27.7477	true	-
ENSG00000188234.15	AGAP4	2535	2579	106	10.6000	10	27.4528	true	-
ENSG00000170275.15	CRTAP	6595	53636	610	61.0000	10	27.3443	true	-
ENSG00000183520.12	UTP11	2023	8669	275	27.5000	10	27.1273	true	-
ENSG00000170584.11	NUDCD2	7967	13397	224	22.4000	10	27.0536	true	-
ENSG00000007541.17	PIGQ	2052	9662	196	19.6000	10	27.0408	true	-
ENSG00000023902.14	PLEKHO1	2114	19396	352	35.2000	10	26.9886	true	-
ENSG00000180098.9	TRNAU1AP	1799	4406	136	13.6000	10	26.9118	true	-
ENSG00000104312.8	RIPK2	2516	35500	588	58.8000	10	26.7687	true	-
ENSG00000100380.15	ST13	3212	94146	2299	229.9000	9	26.5942	true	-
ENSG00000133858.17	ZFC3H1	1771	5654	139	13.9000	9	26.5468	true	-
ENSG00000167378.10	IRGQ	9686	49906	299	29.9000	10	26.4883	true	-
ENSG00000117543.22	DPH5	1768	8087	289	28.9000	10	26.2284	true	-
ENSG00000119866.22	BCL11A	1519	5798	232	23.2000	9	26.0345	true	-
ENSG00000141556.22	TBCD	5920	21884	298	29.8000	10	25.2349	true	-
ENSG00000175606.11	TMEM70	2032	3967	126	12.6000	10	25.1587	true	-
ENSG00000167118.11	URM1	2595	15278	349	34.9000	10	25.1003	true	-
ENSG00000181991.16	MRPS11	3392	5128	172	17.2000	9	25.0581	true	-
ENSG00000160714.10	UBE2Q1	3239	24038	475	47.5000	10	25.0526	true	-
ENSG00000186063.13	AIDA	2975	6524	136	13.6000	10	25.0000	true	-
ENSG00000162642.14	C1orf52	3254	8303	210	21.0000	9	24.9524	true	-
ENSG00000184232.9	OAF	2262	7984	193	19.3000	10	24.9223	true	-
ENSG00000149357.10	LAMTOR1	965	14603	809	80.9000	10	24.9073	true	-
ENSG00000189007.16	ADAT2	6651	16940	220	22.0000	10	24.8636	true	-
ENSG00000151657.12	KIN	6360	4666	103	10.3000	10	24.8544	true	-
ENSG00000170242.19	USP47	7775	25192	196	19.6000	9	24.6429	true	-
ENSG00000184863.11	RBM33	1580	6877	199	19.9000	10	24.5226	true	-
ENSG00000143353.12	LYPLAL1	1857	4604	214	21.4000	10	24.4860	true	-
ENSG00000168137.20	SETD5	4416	13365	145	14.5000	10	24.4138	true	-
ENSG00000189339.12	SLC35E2B	5948	33537	253	25.3000	9	24.1502	true	-
ENSG00000243317.8	STMP1	2461	33392	1045	104.5000	10	24.1244	true	-
ENSG00000136754.18	ABI1	3492	32145	457	45.7000	10	24.0481	true	-
ENSG00000196405.13	EVL	1715	2294	109	10.9000	9	23.9450	true	-
ENSG00000112851.16	ERBIN	6382	23108	165	16.5000	10	23.9394	true	-
ENSG00000204160.12	ZDHHC18	1275	2637	191	19.1000	10	23.9267	true	-
ENSG00000001036.14	FUCA2	2385	12310	235	23.5000	10	23.7872	true	-
ENSG00000137038.8	DMAC1	2456	7522	377	37.7000	10	23.7666	true	-
ENSG00000146232.17	NFKBIE	2344	16160	297	29.7000	10	23.7374	true	-
ENSG00000182552.15	RWDD4	1551	3913	145	14.5000	7	23.5862	true	-
ENSG00000154144.13	TBRG1	5144	19417	321	32.1000	10	23.5826	true	-
ENSG00000138398.17	PPIG	6150	17220	218	21.8000	8	23.4862	true	-
ENSG00000146109.5	ABT1	2943	8637	192	19.2000	9	23.3333	true	-
ENSG00000141279.18	NPEPPS	3758	17471	217	21.7000	10	23.2719	true	-
ENSG00000176102.13	CSTF3	1132	5710	286	28.6000	10	23.1469	true	-
ENSG00000138594.14	TMOD3	8232	22344	185	18.5000	10	23.1351	true	-
ENSG00000117899.11	MESD	4200	7201	128	12.8000	10	23.0469	true	-
ENSG00000131116.12	ZNF428	1162	14971	824	82.4000	10	22.9854	true	-
ENSG00000137504.15	CREBZF	7140	58081	612	61.2000	10	22.7288	true	-
ENSG00000198833.7	UBE2J1	4164	96162	1774	177.4000	10	22.6607	true	-
ENSG00000116830.12	TTF2	9439	13763	125	12.5000	10	22.5600	true	-
ENSG00000196396.10	PTPN1	3979	21645	233	23.3000	10	22.5322	true	-
ENSG00000056586.16	RC3H2	3081	5186	120	12.0000	10	22.5000	true	-
ENSG00000286098.1	ENSG00000286098	3215	5810	214	21.4000	7	22.4766	true	-
ENSG00000108187.16	PBLD	2165	1742	205	20.5000	10	22.4390	true	-
ENSG00000148296.7	SURF6	4235	15584	246	24.6000	10	22.1951	true	-
ENSG00000165209.19	STRBP	6161	17188	267	26.7000	10	22.0974	true	-
ENSG00000130764.10	LRRC47	4303	14695	237	23.7000	10	22.0675	true	-
ENSG00000143157.12	POGK	5751	12023	127	12.7000	10	21.8110	true	-
ENSG00000137076.22	TLN1	8674	148920	1152	115.2000	10	21.7448	true	-
ENSG00000107968.10	MAP3K8	2518	9123	401	40.1000	6	21.6958	true	-
ENSG00000273611.5	ZNHIT3	834	2848	253	25.3000	10	21.6206	true	-
ENSG00000153207.16	AHCTF1	8751	17314	167	16.7000	8	21.6168	true	-
ENSG00000135045.7	C9orf40	2351	5883	193	19.3000	10	21.6062	true	-
ENSG00000138442.11	WDR12	8621	9770	147	14.7000	10	21.5646	true	-
ENSG00000146085.8	MMUT	3811	5520	120	12.0000	10	21.5000	true	-
ENSG00000162341.18	TPCN2	2856	4331	111	11.1000	10	21.4414	true	-
ENSG00000188921.14	HACD4	8277	26873	308	30.8000	10	21.3312	true	-
ENSG00000182093.16	GET1	1178	1866	178	17.8000	10	21.2921	true	-
ENSG00000171612.7	SLC25A33	3865	6487	149	14.9000	10	21.2752	true	-
ENSG00000136682.16	ZNG1B	1827	5740	276	27.6000	10	21.2681	true	-
ENSG00000119414.12	PPP6C	4172	16956	349	34.9000	9	21.2607	true	-
ENSG00000054282.16	SDCCAG8	1871	4207	212	21.2000	8	21.1792	true	-
ENSG00000127445.14	PIN1	878	6690	680	68.0000	10	21.1618	true	-
ENSG00000172893.18	DHCR7	2472	8067	225	22.5000	10	21.1556	true	-
ENSG00000015153.15	YAF2	4096	5322	117	11.7000	10	21.0256	true	-
ENSG00000164331.10	ANKRA2	2161	5050	165	16.5000	7	20.9697	true	-
ENSG00000136709.12	WDR33	3104	6021	228	22.8000	10	20.9211	true	-
ENSG00000138964.18	PARVG	820	8521	1191	119.1000	10	20.7473	true	-
ENSG00000162174.12	ASRGL1	1543	683	113	11.3000	10	20.7080	true	-
ENSG00000147789.16	ZNF7	2738	6007	100	10.0000	10	20.7000	true	-
ENSG00000145431.11	PDGFC	4570	10943	145	14.5000	10	20.6897	true	-
ENSG00000205593.12	DENND6B	4891	6021	172	17.2000	10	20.6395	true	-
ENSG00000167173.19	C15orf39	3152	17073	286	28.6000	10	20.6294	true	-
ENSG00000112031.16	MTRF1L	3431	11001	289	28.9000	9	20.4844	true	-
ENSG00000085274.16	MYNN	4815	8458	111	11.1000	10	20.4505	true	-
ENSG00000174428.19	GTF2IRD2B	3551	4855	353	35.3000	10	20.4249	true	-
ENSG00000116353.16	MECR	2515	3981	103	10.3000	7	20.3883	true	-
ENSG00000139131.13	YARS2	2117	4589	134	13.4000	10	20.2985	true	-
ENSG00000143158.11	MPC2	2177	31840	1387	138.7000	10	20.2812	true	-
ENSG00000214367.10	HAUS3	3166	11420	202	20.2000	10	20.1980	true	-
ENSG00000257923.12	CUX1	4044	20458	579	57.9000	10	19.9136	true	-
ENSG00000102967.12	DHODH	4669	4055	111	11.1000	10	19.9099	true	-
ENSG00000176681.15	LRRC37A	4997	1148	105	10.5000	5	19.9048	true	-
ENSG00000075142.14	SRI	1307	14578	953	95.3000	10	19.7272	true	-
ENSG00000213551.7	DNAJC9	2295	23150	707	70.7000	10	19.7030	true	-
ENSG00000167283.9	ATP5MG	1121	41329	3658	365.8000	10	19.6446	true	-
ENSG00000125484.12	GTF3C4	8612	13753	153	15.3000	8	19.6078	true	-
ENSG00000117151.13	CTBS	6571	13620	223	22.3000	10	19.5964	true	-
ENSG00000203791.15	EEF1AKMT2	4921	7745	223	22.3000	10	19.5964	true	-
ENSG00000050748.18	MAPK9	2266	4412	192	19.2000	10	19.5833	true	-
ENSG00000119321.10	FKBP15	8766	15448	194	19.4000	10	19.4845	true	-
ENSG00000099995.19	SF3A1	5090	57403	950	95.0000	9	19.4105	true	-
ENSG00000123066.9	MED13L	5683	28379	260	26.0000	10	19.3462	true	-
ENSG00000088035.18	ALG6	3325	3825	106	10.6000	8	19.3396	true	-
ENSG00000156170.14	NDUFAF6	1869	4788	210	21.0000	10	19.2857	true	-
ENSG00000106246.18	PTCD1	571	2131	537	53.7000	10	19.1993	true	-
ENSG00000142784.16	WDTC1	4706	34279	365	36.5000	10	19.1507	true	-
ENSG00000148690.12	FRA10AC1	3109	7507	256	25.6000	10	19.1406	true	-
ENSG00000108010.12	GLRX3	3827	10819	448	44.8000	10	19.1295	true	-
ENSG00000182774.13	RPS17	1909	482469	56680	5668.0000	10	19.1087	true	-
ENSG00000017797.13	RALBP1	3676	11864	402	40.2000	10	19.1045	true	-
ENSG00000164691.19	TAGAP	3713	19267	366	36.6000	10	19.0984	true	-
ENSG00000132205.11	EMILIN2	5944	7772	143	14.3000	10	19.0210	true	-
ENSG00000104388.15	RAB2A	737	3180	355	35.5000	5	18.9014	true	-
ENSG00000205268.11	PDE7A	2986	8427	294	29.4000	10	18.8776	true	-
ENSG00000166166.13	TRMT61A	3217	5596	104	10.4000	10	18.8462	true	-
ENSG00000067900.9	ROCK1	9446	47260	418	41.8000	10	18.6124	true	-
ENSG00000170606.16	HSPA4	4774	22698	398	39.8000	10	18.5930	true	-
ENSG00000100033.17	PRODH	1985	4232	244	24.4000	4	18.5246	true	-
ENSG00000174840.9	PDE12	8780	10695	100	10.0000	10	18.5000	true	-
ENSG00000153485.6	LYSET	2373	2342	100	10.0000	10	18.5000	true	-
ENSG00000138175.9	ARL3	3834	2871	183	18.3000	10	18.4153	true	-
ENSG00000171150.9	SOCS5	4766	7459	105	10.5000	9	18.3810	true	-
ENSG00000285976.4	ENSG00000285976	7393	57749	875	87.5000	8	18.3200	true	-
ENSG00000164902.14	PHAX	3609	3319	111	11.1000	9	18.2883	true	-
ENSG00000170185.11	USP38	6359	12953	251	25.1000	10	18.2869	true	-
ENSG00000198081.11	ZBTB14	3341	6214	108	10.8000	10	18.2407	true	-
ENSG00000109881.17	CCDC34	2109	3812	219	21.9000	10	18.2192	true	-
ENSG00000168092.14	PAFAH1B2	1056	4387	291	29.1000	10	18.1787	true	-
ENSG00000185414.20	MRPL30	4435	8640	213	21.3000	10	18.1221	true	-
ENSG00000169299.14	PGM2	3211	9389	199	19.9000	10	18.0905	true	-
